pair_id,name_a,name_b,label,pair_type,cluster_a,cluster_b
p0168,Deutsche Bank,First Republic Bank,0,hard_negative,deutschebank,firstrepublic
p0169,Anheuser-Busch InBev SA/NV,Anheuser Busch InBev,1,positive,abinbev,abinbev
p0170,Exxon Mobil Corporation,The Home Depot,0,easy_negative,exxon,homedepot
p0171,"Tesla Motors, Inc.",Ford Motor Co.,0,easy_negative,tesla,ford
p0172,L'Oréal S.A.,L'Oreal,1,positive,loreal,loreal
p0173,Bank of America,Deutsche Bank AG,0,hard_negative,bofa,deutschebank
p0174,Toyota Motor Corporation,Toyota,1,positive,toyota,toyota
p0175,General Dynamics Corporation,General Dynamics,1,positive,gendynamics,gendynamics
p0176,Google LLC,Google Inc.,1,positive,google,google
p0177,Johnson Controls International plc,Ford Motor Company,0,easy_negative,johnson_controls,ford
p0178,Saudi Arabian Oil Company,Nike,0,easy_negative,aramco,nike
p0179,Johnson Controls,"S. C. Johnson & Son, Inc.",0,hard_negative,johnson_controls,scjohnson
p0180,Deutsche Bank AG,Deutsche Bank,1,positive,deutschebank,deutschebank
p0181,Microsoft Corp.,MSFT,1,positive,microsoft,microsoft
p0182,"Hitachi, Ltd.",L'Oréal S.A.,0,easy_negative,hitachi,loreal
p0183,"Salesforce, Inc.","S. C. Johnson & Son, Inc.",0,easy_negative,salesforce,scjohnson
p0184,IBM Corp.,Advanced Micro Devices,0,easy_negative,ibm,amd
p0185,Toyota Motor Corporation,Ford Motor Co.,0,hard_negative,toyota,ford
p0186,Citigroup Inc.,Citi,1,positive,citi,citi
p0187,Deutsche Bank,Minnesota Mining and Manufacturing,0,easy_negative,deutschebank,mmm
p0188,Johnson and Johnson,Volkswagen Aktiengesellschaft,0,easy_negative,jnj,vw
p0189,Apple Inc.,Aple Inc,1,positive,apple,apple
p0190,KO,中国银行,0,easy_negative,cocacola,bankofchina
p0191,"Apple Computer, Inc.",Aple Inc,1,positive,apple,apple
p0192,Advanced Micro Devices,Exxon,0,easy_negative,amd,exxon
p0193,American Express,Bank of America Corporation,0,easy_negative,amex,bofa
p0194,Oracle Corporation,Oracle Corp.,1,positive,oracle,oracle
p0195,LVMH,META,0,easy_negative,lvmh,meta
p0196,Alliance Bernstein,"The Goldman Sachs Group, Inc.",0,easy_negative,alliancebernstein,goldman
p0197,Genral Electric,"Lincoln Electric Holdings, Inc.",0,hard_negative,ge,lincoln_elec
p0198,Nestle SA,Nestle,1,positive,nestle,nestle
p0199,Pfizer Inc.,Mercedes Benz,0,easy_negative,pfizer,mercedes
p0200,Apple Inc.,"Apple Computer, Inc.",1,positive,apple,apple
p0201,Merck and Co,Merck Group,0,hard_negative,merck_us,merck_de
p0202,Alibaba Group,Alibaba,1,positive,alibaba,alibaba
p0203,American Express Company,"American Electric Power Company, Inc.",0,hard_negative,amex,aep
p0204,"NIKE, Inc.",Nike,1,positive,nike,nike
p0205,L'Oréal S.A.,LOreal,1,positive,loreal,loreal
p0206,Nike,NKE,1,positive,nike,nike
p0207,Deutsche Post AG,Verizon,0,easy_negative,deutschepost,verizon
p0208,Saudi Arabian Oil Company,American Telephone & Telegraph,0,easy_negative,aramco,att
p0209,"United Parcel Service, Inc.",Mercedes-Benz,0,easy_negative,ups,mercedes
p0210,General Motors,Genral Motors,1,positive,gm,gm
p0211,TCS,American Electric Power,0,easy_negative,tcs,aep
p0212,PepsiCo,RBS,0,easy_negative,pepsico,rbs
p0213,Bank of China,Bank of Montreal,0,hard_negative,bankofchina,bankofmontreal
p0214,"Honda Motor Co., Ltd.",Honda Motor,1,positive,honda,honda
p0215,Bank of China Limited,First Republic Bank,0,hard_negative,bankofchina,firstrepublic
p0216,Berkshire Hathaway Inc.,"Honda Motor Co., Ltd.",0,easy_negative,berkshire,honda
p0217,Nvidia,NVDA,1,positive,nvidia,nvidia
p0218,Royal Bank of Canada,Royal Bank of Scotland Group,0,hard_negative,rbc,rbs
p0219,Bank of America Corporation,BofA,1,positive,bofa,bofa
p0220,General Motors,General Dynamics,0,hard_negative,gm,gendynamics
p0221,"Apple Computer, Inc.",AAPL,1,positive,apple,apple
p0222,American Airlines,"American International Group, Inc.",0,hard_negative,amer_air,aig
p0223,Exxon,XOM,1,positive,exxon,exxon
p0224,Bank of America,Deutsche Bank,0,hard_negative,bofa,deutschebank
p0225,General Motors,General Dynamics Corporation,0,hard_negative,gm,gendynamics
p0226,Royal Bank of Scotland Group,First Republic Bank,0,hard_negative,rbs,firstrepublic
p0227,A T & T,American Telephone & Telegraph,1,positive,att,att
p0228,Bank of Montreal,BMO Financial Group,1,positive,bankofmontreal,bankofmontreal
p0229,UnitedHealth Group,UNH,1,positive,unitedhealth,unitedhealth
p0230,Sony Group Corporation,Sony,1,positive,sony,sony
p0231,S&P Global Inc.,Union Bank of Switzerland,0,easy_negative,sandp,ubs
p0232,SAP SE,SAP,1,positive,sap,sap
p0233,"American Electric Power Company, Inc.","Lincoln Electric Holdings, Inc.",0,hard_negative,aep,lincoln_elec
p0234,"Samsung Electronics Co., Ltd.",Samsung Elec,1,positive,samsung,samsung
p0235,MSFT,Microsft,1,positive,microsoft,microsoft
p0236,Pfizer,PFE,1,positive,pfizer,pfizer
p0237,Shell plc,Shell,1,positive,shell,shell
p0238,Johnson and Johnson,SC Johnson,0,hard_negative,jnj,scjohnson
p0239,Credit Suisse Group AG,Mercedes Benz,0,easy_negative,creditsuisse,mercedes
p0240,"Delta Electronics, Inc.",CSCO,0,easy_negative,delta_elec,cisco
p0241,TotalEnergies SE,Total,1,positive,total,total
p0242,AT&T Inc.,AT&T,1,positive,att,att
p0243,United Parcel Service,UPS,1,positive,ups,ups
p0244,"Banco Santander, S.A.",Santander,1,positive,santander,santander
p0245,NVIDIA Corporation,NVDA,1,positive,nvidia,nvidia
p0246,Ford Motor Co.,Honda Motor,0,hard_negative,ford,honda
p0247,Deutsche Bank AG,Deutsche Telekom AG,0,hard_negative,deutschebank,deutschetelekom
p0248,Bank of China Limited,Royal Bank of Canada,0,hard_negative,bankofchina,rbc
p0249,American Express Company,American Airlines Group Inc.,0,hard_negative,amex,amer_air
p0250,Novartis,Novartis International AG,1,positive,novartis,novartis
p0251,Sony,ソニー,1,positive,sony,sony
p0252,Apple,Aple Inc,1,positive,apple,apple
p0253,Bank of America Corporation,Royal Bank of Canada,0,hard_negative,bofa,rbc
p0254,Berkshire Hathaway,BRK.A,1,positive,berkshire,berkshire
p0255,"Lincoln Electric Holdings, Inc.",Lincoln Electric,1,positive,lincoln_elec,lincoln_elec
p0256,Tata Motors Limited,Tata Steel Limited,0,hard_negative,tatamotors,tatasteel
p0257,Wal Mart,WMT,1,positive,walmart,walmart
p0258,"Lincoln Electric Holdings, Inc.",BofA,0,easy_negative,lincoln_elec,bofa
p0259,Royal Bank of Canada,RBC,1,positive,rbc,rbc
p0260,Lincoln Financial Group,Lincoln Electric,0,hard_negative,lincoln_fin,lincoln_elec
p0261,HSBC,Hongkong and Shanghai Banking Corporation,1,positive,hsbc,hsbc
p0262,Bank of America Corporation,Bank of China,0,hard_negative,bofa,bankofchina
p0263,Unilever PLC,Unilever N.V.,1,positive,unilever,unilever
p0264,Bank of America Corporation,Royal Bank of Scotland Group,0,hard_negative,bofa,rbs
p0265,Intel Corporation,INTC,1,positive,intel,intel
p0266,General Electric Company,General Dynamics Corporation,0,hard_negative,ge,gendynamics
p0267,American Electric Power,Lincoln Electric,0,hard_negative,aep,lincoln_elec
p0268,Crédit Agricole S.A.,Credit Agricole,1,positive,creditagricole,creditagricole
p0269,Costco Wholesale Corporation,COST,1,positive,costco,costco
p0270,JPMorgan Chase,GlaxoSmithKline,0,easy_negative,jpmorgan,gsk
p0271,NKE,Shell,0,easy_negative,nike,shell
p0272,"General Mills, Inc.",General Mills,1,positive,genmills,genmills
p0273,General Electric Co.,"General Mills, Inc.",0,hard_negative,ge,genmills
p0274,NVIDIA Corporation,Nvidia,1,positive,nvidia,nvidia
p0275,"First Solar, Inc.",First Solar,1,positive,firstsolar,firstsolar
p0276,"Tesla, Inc.",Alphabet Inc.,0,easy_negative,tesla,alphabet
p0277,Bank of Montreal,Royal Bank of Scotland Group,0,hard_negative,bankofmontreal,rbs
p0278,Amazon,AMZN,1,positive,amazon,amazon
p0279,Toyota Motor Corporation,Toyota Motor Corp,1,positive,toyota,toyota
p0280,Deutsche Bank,Royal Bank of Canada,0,hard_negative,deutschebank,rbc
p0281,Deutsche Bank AG,Bank of Montreal,0,hard_negative,deutschebank,bankofmontreal
p0282,Berkshire Hathaway Inc.,BRK.A,1,positive,berkshire,berkshire
p0283,"First Solar, Inc.",First Republic Bank,0,hard_negative,firstsolar,firstrepublic
p0284,General Motors,Tata Motors,0,hard_negative,gm,tatamotors
p0285,JPMorgan Chase & Co.,JPMorgan Chase,1,positive,jpmorgan,jpmorgan
p0286,Alliance Bernstein,AllianceBernstein,1,positive,alliancebernstein,alliancebernstein
p0287,American Express Company,"American International Group, Inc.",0,hard_negative,amex,aig
p0288,Bank of China,Royal Bank,0,hard_negative,bankofchina,rbc
p0289,Genral Electric,CVX,0,easy_negative,ge,chevron
p0290,Nvidia,Nvidia Corp,1,positive,nvidia,nvidia
p0291,J.P. Morgan,"General Mills, Inc.",0,easy_negative,jpmorgan,genmills
p0292,Hewlett Packard,Hewlett Packard Enterprise,0,hard_negative,hp,hpe
p0293,LVMH Moët Hennessy Louis Vuitton,SAP SE,0,easy_negative,lvmh,sap
p0294,LVMH Moët Hennessy Louis Vuitton,LVMH,1,positive,lvmh,lvmh
p0295,Johnson & Johnson,SC Johnson,0,hard_negative,jnj,scjohnson
p0296,Citigroup Inc.,Tesla,0,easy_negative,citi,tesla
p0297,Taiwan Semiconductor,Novartis AG,0,easy_negative,tsmc,novartis
p0298,"Samsung Heavy Industries Co., Ltd.",Samsung Heavy Industries,1,positive,samsung_heavy,samsung_heavy
p0299,Toyota Motor Corporation,トヨタ自動車,1,positive,toyota,toyota
p0300,VZ,Siemens Aktiengesellschaft,0,easy_negative,verizon,siemens
p0301,Deutsche Telekom,Deutsche Post AG,0,hard_negative,deutschetelekom,deutschepost
p0302,General Motors Company,General Dynamics Corporation,0,hard_negative,gm,gendynamics
p0303,Netflix,NFLX,1,positive,netflix,netflix
p0304,Alibaba,UNH,0,easy_negative,alibaba,unitedhealth
p0305,Samsung Electronics,"Samsung Heavy Industries Co., Ltd.",0,hard_negative,samsung,samsung_heavy
p0306,NVIDIA Corporation,BMW,0,easy_negative,nvidia,bmw
p0307,Daimler AG,Mercedes Benz,1,positive,mercedes,mercedes
p0308,Merck and Co,MSD,1,positive,merck_us,merck_us
p0309,Allianz SE,Société des Produits Nestlé,0,easy_negative,allianz,nestle
p0310,Bank of America Corporation,Bank of China Limited,0,hard_negative,bofa,bankofchina
p0311,American Airlines Group Inc.,American Airlines,1,positive,amer_air,amer_air
p0312,Газпром,OAO Gazprom,1,positive,gazprom,gazprom
p0313,"Amazon.com, Inc.",MMM,0,easy_negative,amazon,mmm
p0314,Credit Suisse Group AG,Credit Suisse,1,positive,creditsuisse,creditsuisse
p0315,JP Morgan,Morgan Stanley & Co.,0,hard_negative,jpmorgan,morganstanley
p0316,"United Parcel Service, Inc.",United Parcel Service,1,positive,ups,ups
p0317,日立製作所,NVIDIA Corporation,0,easy_negative,hitachi,nvidia
p0318,First Solar,Hewlett Packard Enterprise,0,easy_negative,firstsolar,hpe
p0319,Hewlett-Packard,HPQ,1,positive,hp,hp
p0320,General Dynamics,NatWest Group plc,0,easy_negative,gendynamics,rbs
p0321,AMD,Advanced Micro Devices,1,positive,amd,amd
p0322,AB InBev,Taiwan Semiconductor Manufacturing Company Limited,0,easy_negative,abinbev,tsmc
p0323,The Procter & Gamble Company,Procter & Gamble Co.,1,positive,pg,pg
p0324,UPS,Hewlett Packard Enterprise Company,0,easy_negative,ups,hpe
p0325,Hewlett-Packard,Hewlett Packard,1,positive,hp,hp
p0326,Exxon Mobil Corporation,ExxonMobil,1,positive,exxon,exxon
p0327,Hewlett Packard Enterprise Company,Toyota Motor Corp,0,easy_negative,hpe,toyota
p0328,The Boeing Company,BA,1,positive,boeing,boeing
p0329,SAP AG,SAP,1,positive,sap,sap
p0330,Minnesota Mining and Manufacturing,3M,1,positive,mmm,mmm
p0331,GlaxoSmithKline plc,XOM,0,easy_negative,gsk,exxon
p0332,삼성전자,Samsung Elec,1,positive,samsung,samsung
p0333,Merck Sharp & Dohme,Merck Group,0,hard_negative,merck_us,merck_de
p0334,F. Hoffmann-La Roche,Roche,1,positive,roche,roche
p0335,Siemens AG,Siemens,1,positive,siemens,siemens
p0336,Johnson and Johnson,J&J,1,positive,jnj,jnj
p0337,Lincoln Electric,Unilever,0,easy_negative,lincoln_elec,unilever
p0338,Oracle,J&J,0,easy_negative,oracle,jnj
p0339,OAO Gazprom,AMZN,0,easy_negative,gazprom,amazon
p0340,Honda,Honda Motor,1,positive,honda,honda
p0341,AB InBev,Anheuser Busch InBev,1,positive,abinbev,abinbev
p0342,L'Oreal,L'Oréal,1,positive,loreal,loreal
p0343,"Facebook, Inc.",Meta,1,positive,meta,meta
p0344,General Motors,"Tesla Motors, Inc.",0,hard_negative,gm,tesla
p0345,A.P. Moller-Maersk A/S,Maersk,1,positive,maersk,maersk
p0346,General Motors,GM,1,positive,gm,gm
p0347,Standard Chartered PLC,Standard & Poor's,0,hard_negative,stanchart,sandp
p0348,Lincoln Financial Group,"Lincoln Electric Holdings, Inc.",0,hard_negative,lincoln_fin,lincoln_elec
p0349,Microsoft Corporation,MSFT,1,positive,microsoft,microsoft
p0350,Hewlett Packard,Hewlett Packard Enterprise Company,0,hard_negative,hp,hpe
p0351,Fiat Chrysler Automobiles,Stellantis,1,positive,stellantis,stellantis
p0352,American Express Company,American Airlines,0,hard_negative,amex,amer_air
p0353,American Electric Power,AEP,1,positive,aep,aep
p0354,Deutsche Bank,Deutsche Telekom,0,hard_negative,deutschebank,deutschetelekom
p0355,United Airlines,American Airlines,0,hard_negative,united_air,amer_air
p0356,DAL,GSK plc,0,easy_negative,delta_air,gsk
p0357,"The Goldman Sachs Group, Inc.","Honda Motor Co., Ltd.",0,easy_negative,goldman,honda
p0358,NKE,Banco Santander,0,easy_negative,nike,santander
p0359,"General Mills, Inc.",General Dynamics Corporation,0,hard_negative,genmills,gendynamics
p0360,Deutsche Telekom AG,Deutsche Post DHL Group,0,hard_negative,deutschetelekom,deutschepost
p0361,"Tesla, Inc.",TSLA,1,positive,tesla,tesla
p0362,HP Inc.,Hewlett-Packard,1,positive,hp,hp
p0363,Mercedes-Benz Group AG,Daimler AG,1,positive,mercedes,mercedes
p0364,"Cisco Systems, Inc.",CSCO,1,positive,cisco,cisco
p0365,CRM,Aple Inc,0,easy_negative,salesforce,apple
p0366,The Boeing Company,Boeing Co,1,positive,boeing,boeing
p0367,Tata Motors,Tata Steel Limited,0,hard_negative,tatamotors,tatasteel
p0368,Procter & Gamble Co.,Procter and Gamble,1,positive,pg,pg
p0369,Deutsche Bank,Deutsche Telekom AG,0,hard_negative,deutschebank,deutschetelekom
p0370,Airbus Group,GlaxoSmithKline plc,0,easy_negative,airbus,gsk
p0371,Samsung Electronics,Samsung Heavy Industries,0,hard_negative,samsung,samsung_heavy
p0372,"Merck & Co., Inc.",Merck and Co,1,positive,merck_us,merck_us
p0373,American Telephone & Telegraph,American Airlines,0,hard_negative,att,amer_air
p0374,AT&T,American Telephone & Telegraph,1,positive,att,att
p0375,Tata Consultancy Services Limited,Tata Steel,0,hard_negative,tcs,tatasteel
p0376,Amex,AXP,1,positive,amex,amex
p0377,"Apple Computer, Inc.",Apple,1,positive,apple,apple
p0378,General Mills,General Dynamics Corporation,0,hard_negative,genmills,gendynamics
